url,doc_id,title,audience,category,language,document_version,license_or_permission
https://cellphones.com.vn/chinh-sach-bao-hanh,return-refund-policy-main,Chính sách bảo hành và đổi trả sản phẩm,buyer,returns-policy,vi,not-stated,public-source
https://cellphones.com.vn/quy-che-hoat-dong-ung-dung-cellphones/chinh-sach-doi-tra,return-refund-policy,Chính sách hủy giao dịch và đổi trả hàng,buyer,returns-policy,vi,not-stated,public-source
https://cellphones.com.vn/huong-dan-huy-giao-dich-doi-tra?utm_source=chatgpt.com,return-refund-guide,Hướng dẫn hủy giao dịch và đổi trả,buyer,returns-policy,vi,not-stated,public-source
https://cellphones.com.vn/quy-che-hoat-dong-ung-dung-cellphones,cellphones-app-regulation,Quy chế hoạt động ứng dụng CellphoneS,buyer,terms-and-policy,vi,not-stated,public-source
